brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Toyota,RAV4,2017,26749,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84930,,2T3RFREV3HW585422,,
Jeep,Grand Cherokee,2021,57491,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65097,,1C4RJKDGXM8127286,,
Mazda,3,2021,25988,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,73788,,JM1BPADL6M1324486,,
Toyota,Venza,2009,11999,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,185000,,,,
GMC,Yukon,2019,64500,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,53000,,,,
Jaguar,F-Pace,2020,49990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,
Chevrolet,Silverado 1500,2014,12500,Pickup Truck,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,197000,,,,
Jeep,Grand Cherokee,2019,35920,Black,,Used,"SUV, Crossover",Other,Gasoline,1C4RJFBG3KC649231,96614,,S29231,,
Toyota,Corolla,2009,0,,,Used,,,,,250000,,,,
Jeep,Wrangler Unlimited,2024,69240,Blue,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXEN5RW170289,,
Jeep,Wrangler Unlimited,2024,61155,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXDN7RW165550,,
Jeep,Wrangler,2024,69945,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXCG7RW177782,,
Jeep,Wrangler Unlimited,2024,68835,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXEN1RW170287,,
Jeep,Wrangler Unlimited,2024,61155,Other,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXDN9RW165551,,
Jeep,Wrangler,2024,70445,Silver,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXCG9RW177783,,
Hyundai,Elantra,2017,16877,Black,,Used,Sedan,Other,Gasoline,KMHD84LF0HU308321,139996,,S18321,,
Land Rover,Range Rover Sport,2007,12500,,,Used,,,,,135000,,,,
Chevrolet,Cruze,2015,12282,White,,Used,Sedan,Other,Automatic,Gasoline,108380,,1G1PC5SB4F7224673,,
Dodge,Journey,2017,23489,Grey,,Used,"SUV, Crossover",Other,Gasoline,3C4PDDFG8HT610046,887400,,S10046,,
Ram,1500,2016,29877,Black,,Used,Pickup Truck,Other,Gasoline,1C6RR7MT5GS137130,147500,,N442816A,,
Chevrolet,Other,2015,10998,White,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Electric,78364,,KL8CL6S00FC704459,,
Jeep,Wrangler,2019,42877,White,,Used,"SUV, Crossover",Other,Gasoline,1C4HJXEN9KW596951,100247,,PA6951,,
Jeep,Grand Cherokee,2021,57491,Red,,Used,"SUV, Crossover",Other,Gasoline,1C4RJKDGXM8127286,65097,,PA7286,,
Audi,A6,2014,23890,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,131000,,WAUHMCFC1EN012871,,
Mitsubishi,Outlander,2023,51999,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,17728,,JA4T5UA98PZ615155,,
Toyota,RAV4,2017,26749,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84930,,2T3RFREV3HW585422,,
Honda,Civic,2017,39899,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,SHHFK8G38HU300481,68650,,S15882A,,
Hyundai,Elantra,2020,20987,Grey,,Used,Sedan,Other,Gasoline,KMHD84LF9LU956782,92572,,PA6782,,
Honda,CR-V,2018,27924,Red,,Used,"SUV, Crossover",Other,Gasoline,2HKRW2H54JH106022,125220,,PA6022,,
Volkswagen,Tiguan,2015,6000,"SUV, Crossover",,Used,,,,,198860,,,,
Nissan,Leaf,2016,13951,Silver,,Used,Hatchback,Other,Electric,1N4AZ0CP0GC306472,79638,,S16472,,
Kia,Sorento,2020,33987,Blue,,Used,"SUV, Crossover",Other,Gasoline,5XYPHDA51LG704523,70916,,N620645A,,
Jeep,Wrangler,2019,39877,Grey,,Used,"SUV, Crossover",Other,Gasoline,1C4HJXDG9KW628591,95581,,S18591,,
